annual_turnover,loan_amount,gst_compliance_score,audit_risk_flag,cibil_score,risk_probability,default
5993428.306022465,1288120.1589886483,10,0,584,0.021292352337334963,0
4723471.397657631,1273292.945808073,8,0,849,0.02140688480151279,0
6295377.076201385,602178.4136849925,1,1,496,0.021660733234176145,0
8046059.71281605,1334954.9041492813,5,0,579,0.02144121005249428,0
4531693.250553329,1866414.5409108726,2,0,855,0.021734452038127915,0
4531726.086101639,862883.9404616024,6,0,452,0.021422320973847397,0
8158425.631014783,2024241.3255252962,9,0,590,0.021353967483930963,0
6534869.458305817,1743887.4105421691,5,1,441,0.021639407008724357,0
4061051.2281300956,1132883.339014481,4,0,611,0.02156196651620869,0
6085120.087171929,1429235.1813310762,2,1,331,0.021726810676347075,0
4073164.6143750753,2299160.9038205165,3,0,325,0.02181044458563252,0
4068540.4928594865,1866773.9067529328,6,0,554,0.021621118120415415,0
5483924.543132069,1504391.827449074,8,0,355,0.021410410428133637,0
1173439.510684404,1381158.3415195078,8,0,592,0.022078955071757018,0
1550164.3349739346,1538304.5352258298,5,1,529,0.02217671571632809,0
3875424.9415180543,1244118.2210288483,5,0,352,0.021556089345896534,0
2974337.7593311523,447625.2471404928,10,0,400,0.021244637225260814,0
5628494.665190548,2521088.9552673656,3,0,766,0.021724125815437517,0
3183951.848957578,1577662.4995997008,7,1,566,0.02173468386424631,0
2175392.5973294172,1699073.6325612685,6,1,301,0.0219831880247294,0
7931297.537843108,1471046.1250615458,1,0,321,0.021603819073814465,0
4548447.3990269285,1132441.599637706,4,0,877,0.02153975559141734,0
5135056.409375847,1407037.7595256146,6,0,511,0.02148423396110028,0
2150503.6275730864,700302.6189028444,6,0,535,0.021522478932251454,0
3911234.550949635,2638543.2490266524,3,0,828,0.021892016444367994,0
5221845.179419732,882744.000788802,6,0,687,0.021406500509709284,0
2698012.8451553946,984016.8580764103,10,0,313,0.021403294181618664,0
5751396.036691343,1279870.3978067997,6,0,818,0.021446111435953596,0
3798722.62016239,2144037.862426189,9,0,521,0.021588219141962368,0
4416612.500413447,1507254.499631327,9,0,702,0.02142295772969129,0
3796586.775541206,881932.1019847688,2,0,812,0.021601465719845163,0
8704556.369017877,2127169.18037867,4,0,586,0.02153634952273799,0
4973005.550524132,1865500.3133927407,9,0,683,0.021448031967949435,0
2884578.1420881995,1769217.4786082262,4,0,546,0.021809608482961314,0
6645089.824206378,1857867.1205854202,8,0,390,0.02141430411196162,0
2558312.7000579555,2697180.9502912257,10,0,611,0.021913993974320086,0
5417727.190009511,2592547.4475180563,3,0,736,0.02174679983957071,0
1080659.7522404487,1156642.3284983523,3,0,342,0.022185080918817685,0
2343627.902203139,2311942.4964055764,9,0,373,0.021900810282176792,0
5393722.471738247,1691584.0948794503,10,0,860,0.021365450134950604,0
6476933.159990821,1749547.9080688746,8,0,615,0.021407294080878606,0
5342736.562379941,653864.5841783357,1,0,443,0.021557093865520394,0
4768703.435223519,1414807.117305902,10,0,628,0.02135290782471586,0
4397792.608821423,1093588.2048317175,2,0,508,0.02161359068493035,0
2042956.019265145,1914029.4074466545,3,0,398,0.02208626908476738,0
3560311.583210583,2035540.2502014025,2,1,413,0.021976292032859893,0
4078722.458080425,462756.8244918443,3,0,474,0.02147642051078727,0
7114244.452437831,1488982.5679978647,8,0,570,0.021362247035374843,0
5687236.579136923,2060930.752397126,6,0,362,0.02154968353872203,0
1473919.6892745323,1406660.5188432776,7,0,703,0.021951088207055946,0
5648167.93878959,1864531.822501182,10,1,524,0.021501100019305205,0
4229835.439167367,1675582.733813542,10,0,460,0.02142656073939122,0
3646155.999388083,1670830.1159763131,6,0,335,0.021620683318694083,0
6223352.577681736,1364342.5109658514,1,0,680,0.02162881921154001,0
7061999.044991902,891709.5979321452,3,0,617,0.02148590957823892,0
6862560.2382323975,939234.9262874863,1,0,755,0.02156781782381201,0
3321564.953554723,1854676.2572276585,10,0,568,0.02154671803190199,0
4381575.248297571,1509729.1277594415,9,0,643,0.02142539712166541,0
5662526.862807128,1430743.8776963877,9,0,339,0.021357338857171528,0
6951090.254244719,1288054.9788388237,5,0,713,0.021455569435262587,0
4041651.52430942,1347405.5772596241,4,0,679,0.021602268457418923,0
4628682.046672366,2023455.8972440697,9,0,521,0.021493972765234525,0
2787330.0519879437,1332377.9590659866,9,0,580,0.02152423150900048,0
2607586.7518386585,829467.6433492156,3,0,524,0.021627980998641917,0
6625051.644788396,1871825.8877700865,5,0,756,0.02152758309931611,0
7712480.057141646,1397561.6680676413,3,0,453,0.02152659828961121,0
4855979.756839332,1515697.9327663882,10,1,579,0.021487781925296604,0
7007065.795784049,2303789.153199755,2,0,652,0.02167292383125679,0
5723272.0500952685,1489719.7213247465,1,0,338,0.021659230416413947,0
3709760.4907897515,1644591.8365593627,10,0,872,0.021461503355673383,0
5722791.211016828,910538.2543508373,2,0,788,0.021547261113312996,0
8076073.132931938,1390165.27382452,8,0,497,0.021334724205439106,0
4928347.921780097,1804763.0226043006,8,0,575,0.021478452792348904,0
8129287.311628012,722313.1330793789,3,0,471,0.021458199081722414,0
-239490.20817948878,1600422.5465578549,7,0,807,0.0162949994463477,0
6643805.008750448,1550395.5363224032,7,0,704,0.021417099661892244,0
5174094.136476343,1520643.7277937196,2,0,570,0.021647087306741464,0
4401985.299068265,2018579.4493291215,9,0,853,0.021509825771149866,0
5183521.553071004,1667219.2574242607,3,0,430,0.021630603208781688,0
1024862.1707982146,2239035.949178222,2,0,684,0.023047457932838782,0
4560656.224324976,1003205.2422029818,3,0,696,0.021555305750490528,0
5714225.143023493,1567962.283609174,2,0,865,0.021632645813211407,0
7955788.089483032,1542233.3931949737,8,0,595,0.021350807895921496,0
3963459.5634527053,965372.75312246,5,1,682,0.021622157635301446,0
3383012.7942136247,1978147.5010456732,3,0,811,0.021825452408145474,0
3996485.912830927,2662336.6529264087,5,0,694,0.021811706503704897,0
6830804.235404149,1491496.9627580845,8,0,853,0.021368951605566455,0
5657502.219319369,1752510.5441368835,7,0,559,0.021473688527894837,0
3940479.5924659222,1542259.2379076637,6,0,580,0.021571169107299518,0
6026534.866226712,1143207.665046412,1,0,655,0.021606946024863027,0
5194155.098696081,589619.8610989919,10,0,719,0.02121724949760738,0
6937289.981065778,1147113.2584523174,1,0,491,0.021588918705638196,0
3595893.8122452954,804020.8095241344,1,1,727,0.021755487539558787,0
4344675.706804464,2352051.039029559,10,0,647,0.02153412003997044,0
4215783.693735685,1442445.1530383804,8,0,728,0.021460643287853406,0
2072970.1037357626,1327040.3354764148,8,0,691,0.02168135397966008,0
5592240.554129152,1944576.912393903,7,0,640,0.021501802381115147,0
5522110.544359779,939124.448572056,6,0,846,0.021407254402284862,0
5010226.913284922,1116567.9809977238,4,0,701,0.021520414102472483,0
4530825.733249706,1534036.1346243105,1,0,346,0.02171721017340326,0
2169258.5158991716,2014384.4957117403,9,1,724,0.02198138293983665,0
4158709.354469282,1750842.522584394,1,0,816,0.021778258022120744,0
4314570.966946461,1624162.5712579412,4,0,627,0.02163415687986664,0
3395445.4615567625,1539058.8676180083,3,0,386,0.021728092692908426,0
4677428.576667982,1700117.9277633876,7,0,814,0.02151346340971768,0
5808101.713629077,1600826.4525646274,5,0,464,0.021522459527447718,0
8772371.80242106,985013.8626115321,5,0,522,0.02140149221338359,0
5349155.625663678,1523039.6108165756,4,0,596,0.021566234072058838,0
5515100.781445528,963155.6705411237,1,0,750,0.02159579535280667,0
4851108.168467665,1540541.2714504118,5,1,642,0.021676960626404916,0
1162457.569401917,1259676.0292558793,4,0,640,0.022157915611775325,0
4946972.249101566,2769690.811391431,10,0,760,0.021547830276062375,0
5120460.419882053,1480052.808124144,8,0,691,0.021421311703334597,0
9926484.224970572,797880.2168692056,2,0,836,0.02148895366939421,0
4615278.070437755,1432909.8946615378,8,0,850,0.021437178746357193,0
5603094.684667225,1759679.372818944,1,0,720,0.021699048307358925,0
4930576.460589513,2336681.9730762616,4,1,680,0.02182978781677098,0
2662643.924760936,1205273.8000306408,3,1,304,0.021851075953165017,0
7285645.629030041,708786.01298818,5,0,303,0.0213903825059809,0
6503866.065373548,1908418.5057154906,5,0,615,0.021535648963233112,0
6582063.894086094,809700.6470501744,5,0,377,0.021409439230903427,0
3181225.090410522,1281922.2792462574,4,0,830,0.021653804135168264,0
7805588.621872198,1371189.757244503,8,0,654,0.02133734144906138,0
2196297.874415438,1465183.273349946,3,0,332,0.02188646822548384,0
6173714.187600541,1844582.228537168,4,0,438,0.021576643230998258,0
9380911.251619957,1158182.858856806,1,1,571,0.021681327955037376,0
3018927.349738623,1363135.3739166197,7,0,495,0.021578679639919413,0
3867404.5407944564,1492864.8235253058,1,0,426,0.021752340826838273,0
5199302.730175283,1574798.978759394,2,0,648,0.02165374612139685,0
3993048.6917676013,1548913.5873539613,7,0,343,0.021531556421397705,0
1898673.1378677348,1718002.88761129,1,0,543,0.022136595204751225,0
5137125.949612055,1921919.7548208686,3,0,308,0.021669474528765373,0
2875392.57254779,1696317.057825484,6,0,378,0.021718221136614306,0
5947184.861270363,1726792.7617546092,6,0,489,0.021496341802036082,0
3161151.531532394,708888.4166267612,6,0,385,0.02144738373746028,0
8099868.810035079,1525113.8495828402,2,0,784,0.021568873254708,0
3433493.4153275257,1739753.7740008044,2,0,570,0.021804693906657326,0
4355876.967588649,1864470.597285225,6,0,812,0.021598310372763253,0
6627034.434739339,1153824.6128831028,10,0,319,0.02126212536327253,0
2538271.3671320896,1170480.3625556775,5,0,788,0.021659853362715573,0
5454919.869208259,1212949.6623582009,7,0,429,0.021408952347122995,0
7614285.508564856,1768206.9499456717,7,0,306,0.021416257385320974,0
1785033.530877545,2016940.5274621043,5,1,609,0.0222786007302609,0
5369267.717064609,1296269.9463541992,8,1,772,0.021509477346878622,0
5519765.588496847,1953981.1568135244,10,0,401,0.02139535336865414,0
6563645.743554621,1561739.9045822972,6,0,637,0.021457521163081937,0
2526098.5782438363,1437857.1114187818,5,0,618,0.021739889992662617,0
2359086.7738314476,1394307.8850910156,4,1,812,0.02191652893269328,0
6043883.131233796,1873305.6823010785,7,0,324,0.02147382416630951,0
5593969.346466372,1662788.908393535,4,0,729,0.02157550765149699,0
5500985.700691753,2637912.7138238186,5,0,442,0.021673481993390954,0
5692896.418993952,1073887.678501338,5,0,448,0.02145803853029582,0
3639950.556843018,1759050.8510149878,1,0,354,0.021824365775469746,0
5464507.394322007,1235399.4950942434,1,0,770,0.021633890571348298,0
5586144.946597363,1065356.5065056782,3,0,662,0.021533638764753203,0
3571297.1639472647,1494566.431482514,3,0,508,0.02170233592100834,0
8731549.022289513,1568676.239703518,2,0,484,0.02156247983298849,0
5947665.841823575,2959086.777530046,2,1,364,0.02192133087066767,0
2617393.005594703,1407927.092158399,6,0,848,0.02167968636512666,0
6313107.2172676595,934910.6352576583,1,0,411,0.021576132540246123,0
3050636.6595453573,1636505.358747193,6,0,562,0.021678601505425405,0
6574169.207484904,462679.98122681584,5,0,375,0.021370454929005973,0
7317191.158014808,1454021.608697867,6,0,595,0.021428470702662964,0
3358635.363296579,1508012.6411475802,5,0,477,0.021650864384773674,0
6926752.258488644,1897300.1914726058,7,0,300,0.021447131211030597,0
5825561.853872997,1986811.1247139233,1,0,447,0.021719041690397612,0
6644120.31998898,1248215.1905461412,3,0,428,0.02153153064983197,0
8793585.965307895,1424692.9926850335,6,0,812,0.02140129157345341,0
4509223.767994259,1116939.5846946645,1,0,801,0.02164990566903218,0
3492527.671285021,935968.722596153,7,0,448,0.02144274876144446,0
3220971.1407489534,1654947.3896903172,4,0,568,0.021735893047832064,0
3368379.4300691234,863207.2257017004,3,0,404,0.021582188807592002,0
4845796.581171792,1292686.5497140684,10,0,765,0.021330747593066326,0
5682303.949633287,1002413.0200503813,9,0,580,0.021300860167170643,0
5553381.598660038,1774841.5931451297,1,0,706,0.02170315253013076,0
6654366.498072048,2400715.049633244,8,0,657,0.021474433107568455,0
5026003.783755814,849206.0085983344,1,0,502,0.021591590692336494,0
7907068.154314633,573490.7585512154,5,0,580,0.021372047551136544,0
4470686.333524087,1437556.5573249664,10,1,556,0.02149475958496445,0
10440338.333179237,1507848.8979788793,8,0,393,0.021314202863276465,0
6251334.695530012,1609329.653378649,6,0,623,0.021471963074303987,0
3285684.887167435,1276839.7423828274,7,0,661,0.0215320780746201,0
2858215.0038777753,1399680.3505872842,8,0,650,0.021569921596964577,0
5964944.83048637,1683755.205270301,6,0,361,0.021490357945549026,0
